generation,checkpoint_id,max_Survived,min_Survived,mean_Survived,elites_mean_Survived,cid_min_Survived,cid_max_Survived
1,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/1/20251105-234927,0.7236065573770493,0.6278142076502732,0.654415300546448,0.6771038251366119,1_7,1_3
2,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/2/20251105-234927,0.7236065573770493,0.641311475409836,0.6898306010928962,0.7216612021857923,1_1,1_3
3,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/3/20251105-234928,0.7236065573770493,0.7153005464480873,0.7225136612021859,0.7236065573770493,1_10,1_3
4,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/4/20251105-234928,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
5,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/5/20251105-234929,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
6,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/6/20251105-234929,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
7,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/7/20251105-234930,0.7236065573770493,0.7224043715846994,0.7234863387978143,0.7236065573770493,7_6,1_3
8,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/8/20251105-234931,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
9,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/9/20251105-234931,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
10,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/10/20251105-234932,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
11,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/11/20251105-234932,0.7236065573770493,0.7221857923497268,0.7232185792349728,0.7236065573770493,11_8,1_3
12,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/12/20251105-234933,0.7236065573770493,0.7223497267759563,0.72348087431694,0.7236065573770493,12_9,1_3
13,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/13/20251105-234933,0.7236065573770493,0.7226229508196722,0.7235081967213116,0.7236065573770493,13_6,1_3
14,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/14/20251105-234934,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
15,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/15/20251105-234934,0.7236065573770493,0.7225683060109289,0.7235027322404373,0.7236065573770493,15_6,1_3
16,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/16/20251105-234935,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
17,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/17/20251105-234936,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
18,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/18/20251105-234936,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
19,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/19/20251105-234937,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
20,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/20/20251105-234937,0.7236065573770493,0.7223497267759563,0.7234808743169401,0.7236065573770493,20_8,1_3
21,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/21/20251105-234938,0.7236065573770493,0.7221857923497268,0.7234644808743171,0.7236065573770493,21_8,1_3
22,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/22/20251105-234938,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
23,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/23/20251105-234939,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
24,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/24/20251105-234940,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
25,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/25/20251105-234940,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
26,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/26/20251105-234941,0.7236065573770493,0.7225683060109289,0.7235027322404373,0.7236065573770493,26_6,1_3
27,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/27/20251105-234941,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
28,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/28/20251105-234942,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
29,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/29/20251105-234942,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
30,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/30/20251105-234943,0.7236065573770493,0.7223497267759563,0.7234808743169401,0.7236065573770493,30_7,1_3
31,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/31/20251105-234943,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
32,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/32/20251105-234944,0.7236065573770493,0.7223497267759563,0.72348087431694,0.7236065573770493,32_10,1_3
33,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/33/20251105-234945,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
34,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/34/20251105-234945,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
35,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/35/20251105-234946,0.7236065573770493,0.7221857923497268,0.723464480874317,0.7236065573770493,35_9,1_3
36,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/36/20251105-234946,0.7236065573770493,0.7232786885245902,0.7235737704918034,0.7236065573770493,36_8,1_3
37,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/37/20251105-234947,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
38,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/38/20251105-234947,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
39,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/39/20251105-234948,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
40,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/40/20251105-234949,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
